gene_id,TG1,TG2,TG3,WT1,WT2,WT3
,,,,,,
ENSMUSG00000051056|Gja10,11,18,2,8,14,4
,,,,,,
ENSMUSG00000105280|Pgk1-ps3,0,1,0,0,0,6
,,,,,,
ENSMUSG00000049123|Catsperg2,34,14,12,19,24,7
,,,,,,
MSTRG.20162|Mir707,1,1,1,1,1,1
,,,,,,
ENSMUSG00000108134|Gm9560,0,0,0,0,0,0
,,,,,,
ENSMUSG00000105077|Gm4859,52,23,37,35,41,27
,,,,,,
MSTRG.24362|Fmr1,10923,10577,11474,10549,12166,12463
,,,,,,
MSTRG.22596|Ccsap,443,650,413,418,459,601
,,,,,,
MSTRG.18687|Igkv13-85,260,787,751,316,450,771
,,,,,,
ENSMUSG00000082337|Gm14723,0,0,0,0,0,0
,,,,,,
ENSMUSG00000113735|Gm48607,0,0,0,0,0,0
,,,,,,
ENSMUSG00000117649|Gm9411,0,0,0,0,0,0
,,,,,,
MSTRG.9249|Gm23050,1,1,0,0,0,0
,,,,,,
ENSMUSG00000090864|Vmn2r40,0,0,0,0,0,0
,,,,,,
ENSMUSG00000111162|Gm7293,0,0,0,0,0,0
,,,,,,
MSTRG.9361|Gm5493,25,0,3,11,9,0
,,,,,,
ENSMUSG00000103329|Gm42492,0,0,0,0,0,0
,,,,,,
MSTRG.12282|Gm44443,2,10,3,6,28,7
,,,,,,
MSTRG.3002|Fem1al,33,35,36,30,45,41
,,,,,,
MSTRG.11066|Rbm14,3294,2437,3333,2178,3645,3313
,,,,,,
ENSMUSG00000046133|C130073F10Rik,0,0,0,0,0,0
,,,,,,
MSTRG.5000|4930423D22Rik,71,22,43,76,35,38
,,,,,,
MSTRG.3032,2499,3196,3658,3889,3347,3318
,,,,,,
ENSMUSG00000065812|Gm24696,0,0,0,0,0,0
,,,,,,
MSTRG.12967|AI847159,33,49,35,52,48,57
,,,,,,
ENSMUSG00000107594|Tas2r142-ps5,0,0,0,0,0,0
,,,,,,
MSTRG.15316|Susd1,1021,2076,1440,1265,1227,1817
,,,,,,
ENSMUSG00000099107|Gm27898,0,0,0,2,0,0
,,,,,,
ENSMUSG00000115478|Gm49198,0,0,0,0,0,0
,,,,,,
ENSMUSG00000117611|Gm35229,0,0,0,0,0,0
,,,,,,
ENSMUSG00000117208|Gm49945,0,0,0,0,0,0
,,,,,,
ENSMUSG00000105531|4930458A03Rik,0,5,0,0,0,0
,,,,,,
ENSMUSG00000082404|Gm14799,0,0,5,0,5,3
,,,,,,
ENSMUSG00000027761|Aadac,0,0,0,0,3,5
,,,,,,
MSTRG.11594|Sfxn3,7666,5425,6613,9119,9016,5708
,,,,,,
MSTRG.7323|Gm16549,11,13,21,14,14,8
,,,,,,
ENSMUSG00000117730|Gm5503,38,51,38,59,46,51
,,,,,,
ENSMUSG00000017309|Cd300lg,76,392,111,53,67,135
,,,,,,
ENSMUSG00000044186|Nkx2-6,2,16,0,7,5,6
,,,,,,
ENSMUSG00000088833|Gm23542,0,0,0,0,0,0
,,,,,,
MSTRG.1694|Samd5,2663,824,1793,3180,2570,899
,,,,,,
ENSMUSG00000083738|Gm14592,0,0,0,2,3,0
,,,,,,
MSTRG.19848,100,101,119,189,201,88
,,,,,,
ENSMUSG00000073006|Gm732,0,0,0,0,0,0
,,,,,,
MSTRG.992|Lmod1,2387,644,1607,3156,1252,532
,,,,,,
MSTRG.19844,907,3625,4823,2508,2094,2675
,,,,,,
MSTRG.19845,343,118,201,220,254,253
,,,,,,
MSTRG.23296|Gm25995,0,0,0,0,0,0
,,,,,,
